Memory Length,4000,
Trigger Level,-1.72000e+02,
Source,CH1,
Probe,1.0X,
Vertical Units,V,
Vertical Scale,1.00000e-01,
Vertical Position,2.00000e-01,
Horizontal Units,S,
Horizontal Scale,2.50000e-05,
Horizontal Position,9.0000000e-06,
Horizontal Mode,Main,
Sampling Period,1.00000e-07,
Firmware,V1.14,
Time, ,
Mode,Fast,
Waveform Data,
-76,
-76,
-76,
-78,
-78,
-75,
-75,
-76,
-76,
-76,
-76,
-75,
-75,
-75,
-75,
-75,
-75,
-75,
-75,
-74,
-74,
-74,
-74,
-73,
-73,
-74,
-74,
-74,
-74,
-75,
-75,
-75,
-75,
-75,
-75,
-75,
-75,
-74,
-74,
-75,
-75,
-75,
-75,
-77,
-77,
-76,
-76,
-76,
-76,
-75,
-75,
-74,
-74,
-75,
-75,
-75,
-75,
-75,
-75,
-75,
-75,
-74,
-74,
-75,
-75,
-74,
-74,
-73,
-73,
-75,
-75,
-75,
-75,
-75,
-75,
-75,
-75,
-75,
-75,
-75,
-75,
-75,
-75,
-75,
-75,
-75,
-75,
-77,
-77,
-75,
-75,
-74,
-74,
-76,
-76,
-74,
-74,
-75,
-75,
-75,
-75,
-76,
-76,
-76,
-76,
-75,
-75,
-75,
-75,
-75,
-75,
-75,
-75,
-74,
-74,
-75,
-75,
-74,
-74,
-75,
-75,
-75,
-75,
-74,
-74,
-74,
-74,
-75,
-75,
-75,
-75,
-73,
-73,
-74,
-74,
-74,
-74,
-74,
-74,
-72,
-72,
-72,
-72,
-72,
-72,
-73,
-73,
-73,
-73,
-73,
-73,
-73,
-73,
-73,
-73,
-72,
-72,
-72,
-72,
-72,
-72,
-73,
-73,
-73,
-73,
-72,
-72,
-72,
-72,
-72,
-72,
-73,
-73,
-72,
-72,
-72,
-72,
-73,
-73,
-72,
-72,
-72,
-72,
-73,
-73,
-71,
-71,
-72,
-72,
-73,
-73,
-72,
-72,
-73,
-73,
-72,
-72,
-73,
-73,
-72,
-72,
-72,
-72,
-71,
-71,
-73,
-73,
-73,
-73,
-73,
-73,
-73,
-73,
-74,
-74,
-72,
-72,
-73,
-73,
-74,
-74,
-73,
-73,
-73,
-73,
-73,
-73,
-73,
-73,
-73,
-73,
-73,
-73,
-73,
-73,
-74,
-74,
-73,
-73,
-74,
-74,
-73,
-73,
-72,
-72,
-72,
-72,
-72,
-72,
-72,
-72,
-72,
-72,
-72,
-72,
-73,
-73,
-73,
-73,
-72,
-72,
-73,
-73,
-72,
-72,
-72,
-72,
-72,
-72,
-73,
-73,
-72,
-72,
-72,
-72,
-71,
-71,
-71,
-71,
-71,
-71,
-71,
-71,
-72,
-72,
-71,
-71,
-72,
-72,
-73,
-73,
-73,
-73,
-71,
-71,
-72,
